51954,53290,60950,63278,66495,70652,78165
58907,53888,58415,61717,67764,67669,74244
47504,53370,58851,62037,66685,71070,82633
53321,53946,59750,63689,66784,68951,69456
45532,49543,61114,64983,69223,68860,71111
44757,44840,52503,52730,54873,62048,99855
41251,48253,52059,57020,62833,70182,75243
48912,51191,55157,58053,63305,63642,66354
39801,44776,49858,56166,65695,70591,77942
37771,42171,48535,57806,65966,72394,79458
34643,41484,46666,56603,64819,70961,88574
45855,49434,58254,58108,60458,63879,66445
43654,47436,52663,54383,61876,66978,74142
42875,46319,52591,58626,61453,65233,71402
55515,47981,53543,51910,56975,60016,69847
42755,47631,58268,58456,58798,61334,67422
43418,50063,55811,58408,60890,60973,64744
34704,42684,51471,56840,60086,65490,77282
33091,39814,48125,54295,59125,70257,82943
45305,46321,49401,55753,60887,63409,65727
48391,48971,53019,55094,57713,60274,61596
55110,55537,50474,52183,51096,53500,65964
33752,40939,47822,55619,61039,65902,75655
44390,46280,50819,53996,58287,63567,60379
49811,50333,54595,51029,52430,56016,62586
36300,39022,45341,54828,56925,63593,77616
50873,45018,50842,52886,56015,57688,57937
39278,43371,46276,55435,57146,61808,67895
40560,42106,49134,52801,54848,60780,68454
41675,42970,49140,53017,56511,60018,65204
39536,42019,43467,52197,53505,62588,73682
46008,46704,48839,52328,56217,56198,59792
38670,42592,48956,52318,55707,61890,65745
43107,45156,48489,51484,54397,55069,56661
42520,42581,48567,52910,55476,54775,57414
42530,44330,47467,52170,53802,55168,57460
32175,34889,40082,46735,55819,62853,79309
28853,31933,36670,40894,63740,72074,76834
39589,44426,48667,48996,54687,53016,59866
40247,42383,42972,46816,50204,51227,75254
36224,38133,42587,48348,58722,59076,65382
46037,47022,49153,49823,50345,50475,54175
36004,38715,44478,49433,54823,56945,60484
20644,26240,33185,53906,64588,68418,73499
39296,41808,45164,48736,52011,53911,58636
43368,45154,48073,48469,50894,53011,50167
41898,43776,46727,49697,49871,50707,54322
41261,41160,42783,45721,48958,54705,62082
39700,42121,46607,49072,50536,52939,55143
27954,32447,35377,55906,56362,63075,62744
37301,38104,41737,45985,52991,54057,62607
41032,39649,52282,45921,48086,50013,53832
26638,36828,46471,50622,53725,53353,61370
42018,43920,43607,46333,53108,46196,50459
37579,39181,41573,43968,47388,56408,58139
32763,35549,39651,45113,50574,55104,64462
31537,34622,38573,45179,51738,51263,69715
43605,42228,44510,46975,46190,47521,50842
40327,49889,46894,44403,49668,46945,43457
36382,37829,42457,46681,48774,50209,55947
30877,33502,41263,43439,54498,55393,57686
35374,39537,43102,45849,49962,50460,51669
40576,39709,41868,44072,45124,47721,51993
41772,44426,43253,43713,43080,46508,46608
37784,38708,42452,43950,45013,48294,53086
38542,38783,42074,42666,43991,46254,50645
31807,34564,44834,46017,52971,46091,46381
30801,34989,36764,42778,48542,52145,55799
39921,39983,41966,42803,43035,45294,46532
31167,33789,38623,41741,45509,48722,55735
38099,38959,41752,41634,43964,45764,42981
32055,33344,35000,50904,47752,41608,47834
36645,38035,40286,40498,41950,44212,46687
39189,38236,40079,41934,40934,41776,44376
34067,37211,38592,40610,42989,42935,48790
36605,37073,39660,39937,42680,43524,45257
36643,38103,39137,39516,39855,42994,47216
38227,38517,38194,40388,42457,42712,42042
